Name,Political Affiliation at Appointment,Province / Territory,Appointed on the advice of,Term (yyyy.mm.dd),start_date,end_date,reason,diff_days,observed
"Abbott, John Joseph Caldwell",Liberal-Conservative,Quebec,"Macdonald, John Alexander",1887.05.12 - 1893.10.30  (Death),1887-05-12 00:00:00,1893-10-30 00:00:00,Death,2363,True
"Adams, Michael",Conservative (1867-1942),New Brunswick,"Bowell, Mackenzie",1896.01.07 - 1899.01.01  (Death),1896-01-07 00:00:00,1899-01-01 00:00:00,Death,1090,True
"Adams, Willie",Liberal Party of Canada,Northwest Territories,"Trudeau, Pierre Elliott",1977.04.05 - 2009.06.22  (Retirement),1977-04-05 00:00:00,2009-06-22 00:00:00,Retirement,11766,True
"Aikins, James Cox",Liberal-Conservative,Ontario,Royal Proclamation,1867.10.23 - 1882.05.30  (Resignation),1867-10-23 00:00:00,1882-05-30 00:00:00,Resignation,5333,True
"Aikins, James Cox",Liberal-Conservative,Ontario,"Bowell, Mackenzie",1896.01.07 - 1904.08.06  (Death),1896-01-07 00:00:00,1904-08-06 00:00:00,Death,3133,True
"Aird, John Black",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1964.11.10 - 1974.11.28  (Resignation),1964-11-10 00:00:00,1974-11-28 00:00:00,Resignation,3670,True
"Alexander, George",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1873.05.30 - 1891.05.29  (Resignation),1873-05-30 00:00:00,1891-05-29 00:00:00,Resignation,6573,True
"Allan, George William",Conservative (1867-1942),Ontario,Royal Proclamation,1867.10.23 - 1901.07.24  (Death),1867-10-23 00:00:00,1901-07-24 00:00:00,Death,12327,True
"Almon, William Johnston",Liberal-Conservative,Nova Scotia,"Macdonald, John Alexander",1879.04.15 - 1901.02.18  (Death),1879-04-15 00:00:00,1901-02-18 00:00:00,Death,7979,True
"Anderson, Doris Margaret",Liberal Party of Canada,Prince Edward Island,"Chrétien, Joseph Jacques Jean",1995.09.21 - 1997.07.05  (Retirement),1995-09-21 00:00:00,1997-07-05 00:00:00,Retirement,653,True
"Anderson, John Hawkins",Liberal Party of Canada,Nova Scotia,Royal Proclamation,1867.10.23 - 1870.12.24  (Death),1867-10-23 00:00:00,1870-12-24 00:00:00,Death,1158,True
"Anderson, Margaret Jean",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1978.03.23 - 1990.08.07  (Retirement),1978-03-23 00:00:00,1990-08-07 00:00:00,Retirement,4520,True
"Andreychuk, Raynell",Progressive Conservative Party,Saskatchewan,"Mulroney, Martin Brian",1993.03.11 -,1993-03-11 00:00:00,2013-10-01 22:20:10.165196,,7509,False
"Angers, Auguste Réal",Conservative (1867-1942),Quebec,"Thompson, John Sparrow David",1892.12.16 - 1896.06.10  (Resignation),1892-12-16 00:00:00,1896-06-10 00:00:00,Resignation,1272,True
"Angus, W. David",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1993.06.10 - 2012.07.21  (Retirement),1993-06-10 00:00:00,2012-07-21 00:00:00,Retirement,6981,True
"Archibald, Thomas Dickson",Liberal-Conservative,Nova Scotia,Royal Proclamation,1867.10.23 - 1890.10.18  (Death),1867-10-23 00:00:00,1890-10-18 00:00:00,Death,8396,True
"Argue, Hazen Robert",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1966.02.24 - 1991.10.02  (Death),1966-02-24 00:00:00,1991-10-02 00:00:00,Death,9351,True
"Armand, Joseph François",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1903.01.01  (Death),1867-10-23 00:00:00,1903-01-01 00:00:00,Death,12853,True
"Arsenault, Joseph Octave",Conservative (1867-1942),Prince Edward Island,"Bowell, Mackenzie",1895.02.18 - 1897.12.14  (Death),1895-02-18 00:00:00,1897-12-14 00:00:00,Death,1030,True
"Arthurs, James",Conservative (1867-1942),Ontario,"Bennett, Richard Bedford",1935.07.20 - 1937.10.07  (Death),1935-07-20 00:00:00,1937-10-07 00:00:00,Death,810,True
"Aseltine, Walter Morley",Conservative (1867-1942),Saskatchewan,"Bennett, Richard Bedford",1933.12.30 - 1971.03.31  (Resignation),1933-12-30 00:00:00,1971-03-31 00:00:00,Resignation,13605,True
"Asselin, Martial",Progressive Conservative Party,Quebec,"Trudeau, Pierre Elliott",1972.09.01 - 1990.08.07  (Resignation),1972-09-01 00:00:00,1990-08-07 00:00:00,Resignation,6549,True
"Ataullahjan, Salma",Conservative Party of Canada,Ontario,"Harper, Stephen",2010.07.09 -,2010-07-09 00:00:00,2013-10-01 22:20:10.165196,,1180,False
"Atkins, Norman K.",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1986.06.30 - 2009.06.27  (Retirement),1986-06-30 00:00:00,2009-06-27 00:00:00,Retirement,8398,True
"Austin, Jack",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1975.08.19 - 2007.03.02  (Retirement),1975-08-19 00:00:00,2007-03-02 00:00:00,Retirement,11518,True
"Aylesworth, Allen Bristol",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1923.01.11 - 1952.02.13  (Death),1923-01-11 00:00:00,1952-02-13 00:00:00,Death,10625,True
"Bacon, Lise",Liberal Party of Canada,Quebec,"Chrétien, Joseph Jacques Jean",1994.09.15 - 2009.08.25  (Retirement),1994-09-15 00:00:00,2009-08-25 00:00:00,Retirement,5458,True
"Baillargeon, Pierre",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1874.03.27 - 1891.12.15  (Death),1874-03-27 00:00:00,1891-12-15 00:00:00,Death,6472,True
"Baird, Alexander Boyd",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1949.08.17 - 1967.11.23  (Death),1949-08-17 00:00:00,1967-11-23 00:00:00,Death,6672,True
"Baird, George Thomas",Conservative (1867-1942),New Brunswick,"Bowell, Mackenzie",1895.06.19 - 1917.04.21  (Death),1895-06-19 00:00:00,1917-04-21 00:00:00,Death,7976,True
"Baker, George",Liberal Party of Canada,Newfoundland and Labrador,"Chrétien, Joseph Jacques Jean",2002.03.26 -,2002-03-26 00:00:00,2013-10-01 22:20:10.165196,,4207,False
"Baker, George Barnard",Liberal-Conservative,Quebec,"Bowell, Mackenzie",1896.01.07 - 1910.02.09  (Death),1896-01-07 00:00:00,1910-02-09 00:00:00,Death,5146,True
"Balfour, James",Progressive Conservative Party,Saskatchewan,"Clark, Charles Joseph",1979.09.13 - 1999.12.12  (Death),1979-09-13 00:00:00,1999-12-12 00:00:00,Death,7395,True
"Ballantyne, Charles Colquhoun",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1932.02.03 - 1950.10.19  (Death),1932-02-03 00:00:00,1950-10-19 00:00:00,Death,6833,True
"Banks, Tommy",Liberal Party of Canada,Alberta,"Chrétien, Joseph Jacques Jean",2000.04.07 - 2011.12.17  (Retirement),2000-04-07 00:00:00,2011-12-17 00:00:00,Retirement,4271,True
"Barbour, George Hilton",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1949.07.06 - 1962.02.06  (Death),1949-07-06 00:00:00,1962-02-06 00:00:00,Death,4598,True
"Barnard, George Henry",Conservative (1867-1942),British Columbia,"Borden, Robert Laird",1917.10.23 - 1945.11.08  (Resignation),1917-10-23 00:00:00,1945-11-08 00:00:00,Resignation,10243,True
"Barootes, Efstathios William (Staff)",Progressive Conservative Party,Saskatchewan,"Mulroney, Martin Brian",1984.12.21 - 1993.05.25  (Resignation),1984-12-21 00:00:00,1993-05-25 00:00:00,Resignation,3077,True
"Barrow, Augustus Irvine",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1974.05.08 - 1988.02.15  (Retirement),1974-05-08 00:00:00,1988-02-15 00:00:00,Retirement,5031,True
"Basha, Michael G.",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1951.01.24 - 1976.11.18  (Resignation),1951-01-24 00:00:00,1976-11-18 00:00:00,Resignation,9430,True
"Batters, Denise",Conservative Party of Canada,Saskatchewan,"Harper, Stephen",2013.01.25 -,2013-01-25 00:00:00,2013-10-01 22:20:10.165196,,249,False
"Bazin, Jean",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1986.12.29 - 1989.12.08  (Resignation),1986-12-29 00:00:00,1989-12-08 00:00:00,Resignation,1075,True
"Beaubien, Arthur-Lucien",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1940.01.29 - 1969.02.01  (Resignation),1940-01-29 00:00:00,1969-02-01 00:00:00,Resignation,10596,True
"Beaubien, Charles-Philippe",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1915.12.03 - 1949.01.17  (Death),1915-12-03 00:00:00,1949-01-17 00:00:00,Death,12099,True
"Beaubien, Louis-Philippe",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.11.16 - 1985.03.28  (Death),1960-11-16 00:00:00,1985-03-28 00:00:00,Death,8898,True
"Beaudoin, Gérald A.",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1988.09.26 - 2004.04.15  (Retirement),1988-09-26 00:00:00,2004-04-15 00:00:00,Retirement,5680,True
"Beaulieu, Mario",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1990.08.30 - 1994.06.22  (Resignation),1990-08-30 00:00:00,1994-06-22 00:00:00,Resignation,1392,True
"Beauregard, Elie",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1954.08.27  (Death),1940-02-09 00:00:00,1954-08-27 00:00:00,Death,5313,True
"Béchard, François",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1896.07.17 - 1897.04.13  (Death),1896-07-17 00:00:00,1897-04-13 00:00:00,Death,270,True
"Béique, Frédéric Liguori",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1902.02.07 - 1933.09.12  (Death),1902-02-07 00:00:00,1933-09-12 00:00:00,Death,11540,True
"Beith, Robert",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1907.01.15 - 1922.01.26  (Death),1907-01-15 00:00:00,1922-01-26 00:00:00,Death,5490,True
"Béland, Henri Sévérin",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1925.09.05 - 1935.04.22  (Death),1925-09-05 00:00:00,1935-04-22 00:00:00,Death,3516,True
"Belcourt, Napoléon Antoine",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1907.11.22 - 1932.08.07  (Death),1907-11-22 00:00:00,1932-08-07 00:00:00,Death,9025,True
"Bélisle, Rhéal",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1963.02.04 - 1992.11.03  (Death),1963-02-04 00:00:00,1992-11-03 00:00:00,Death,10865,True
"Bell (Heath), Ann Elizabeth Haddon",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1970.10.07 - 1989.11.29  (Death),1970-10-07 00:00:00,1989-11-29 00:00:00,Death,6993,True
"Bell, Adam Carr",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1911.10.23 - 1912.10.30  (Death),1911-10-23 00:00:00,1912-10-30 00:00:00,Death,373,True
"Belleau, Narcisse-Fortunat",Conservative (1867-1942),Quebec,Royal Proclamation,1867.10.23 - 1867.10.23  (Appointment declined),1867-10-23 00:00:00,1867-10-23 00:00:00,Appointment declined,0,True
"Bellemare, Diane",Conservative Party of Canada,Quebec,"Harper, Stephen",2012.09.06 -,2012-09-06 00:00:00,2013-10-01 22:20:10.165196,,390,False
"Bellerose, Joseph Hyacinthe",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.10.07 - 1899.08.13  (Death),1873-10-07 00:00:00,1899-08-13 00:00:00,Death,9441,True
"Bénard, Aimé",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1917.09.03 - 1938.01.08  (Death),1917-09-03 00:00:00,1938-01-08 00:00:00,Death,7432,True
