ctryname,cowcode2,politycode,un_region_name,un_continent_name,ehead,leaderspellreg,democracy,regime,start_year,duration,observed
Afghanistan,700,700.0,Southern Asia,Asia,Mohammad Zahir Shah,Mohammad Zahir Shah.Afghanistan.1946.1952.Monarchy,Non-democracy,Monarchy,1946,7,1
Afghanistan,700,700.0,Southern Asia,Asia,Sardar Mohammad Daoud,Sardar Mohammad Daoud.Afghanistan.1953.1962.Civilian Dict,Non-democracy,Civilian Dict,1953,10,1
Afghanistan,700,700.0,Southern Asia,Asia,Mohammad Zahir Shah,Mohammad Zahir Shah.Afghanistan.1963.1972.Monarchy,Non-democracy,Monarchy,1963,10,1
Afghanistan,700,700.0,Southern Asia,Asia,Sardar Mohammad Daoud,Sardar Mohammad Daoud.Afghanistan.1973.1977.Civilian Dict,Non-democracy,Civilian Dict,1973,5,0
Afghanistan,700,700.0,Southern Asia,Asia,Nur Mohammad Taraki,Nur Mohammad Taraki.Afghanistan.1978.1978.Civilian Dict,Non-democracy,Civilian Dict,1978,1,0
Afghanistan,700,700.0,Southern Asia,Asia,Babrak Karmal,Babrak Karmal.Afghanistan.1979.1984.Civilian Dict,Non-democracy,Civilian Dict,1979,6,1
Afghanistan,700,700.0,Southern Asia,Asia,Mohammed Najibullah,Mohammed Najibullah.Afghanistan.1985.1991.Civilian Dict,Non-democracy,Civilian Dict,1985,7,1
Afghanistan,700,700.0,Southern Asia,Asia,Burhanuddin Rabbani,Burhanuddin Rabbani.Afghanistan.1992.1995.Civilian Dict,Non-democracy,Civilian Dict,1992,4,1
Afghanistan,700,700.0,Southern Asia,Asia,Mullah Mohammad Rabbani,Mullah Mohammad Rabbani.Afghanistan.1996.2000.Civilian Dict,Non-democracy,Civilian Dict,1996,5,0
Afghanistan,700,700.0,Southern Asia,Asia,Hamid Karzai,Hamid Karzai.Afghanistan.2001.2008.Civilian Dict,Non-democracy,Civilian Dict,2001,8,0
Albania,339,339.0,Southern Europe,Europe,Enver Hoxha,Enver Hoxha.Albania.1946.1984.Military Dict,Non-democracy,Military Dict,1946,39,0
Albania,339,339.0,Southern Europe,Europe,Ramiz Alia,Ramiz Alia.Albania.1985.1990.Civilian Dict,Non-democracy,Civilian Dict,1985,6,1
Albania,339,339.0,Southern Europe,Europe,Ramiz Alia,Ramiz Alia.Albania.1991.1991.Parliamentary Dem,Democracy,Parliamentary Dem,1991,1,1
Albania,339,339.0,Southern Europe,Europe,Aleksander Meksi,Aleksander Meksi.Albania.1992.1996.Parliamentary Dem,Democracy,Parliamentary Dem,1992,5,1
Albania,339,339.0,Southern Europe,Europe,Fatos Nano,Fatos Nano.Albania.1997.1997.Parliamentary Dem,Democracy,Parliamentary Dem,1997,1,1
Albania,339,339.0,Southern Europe,Europe,Pandeli Majko,Pandeli Majko.Albania.1998.1998.Parliamentary Dem,Democracy,Parliamentary Dem,1998,1,1
Albania,339,339.0,Southern Europe,Europe,Ilir Meta,Ilir Meta.Albania.1999.2001.Parliamentary Dem,Democracy,Parliamentary Dem,1999,3,1
Albania,339,339.0,Southern Europe,Europe,Fatos Nano,Fatos Nano.Albania.2002.2004.Parliamentary Dem,Democracy,Parliamentary Dem,2002,3,1
Albania,339,339.0,Southern Europe,Europe,Sali Berisha,Sali Berisha.Albania.2005.2008.Parliamentary Dem,Democracy,Parliamentary Dem,2005,4,0
Algeria,615,615.0,Northern Africa,Africa,Ahmed Ben Bella,Ahmed Ben Bella.Algeria.1962.1964.Civilian Dict,Non-democracy,Civilian Dict,1962,3,1
Algeria,615,615.0,Northern Africa,Africa,Houari Boumedienne,Houari Boumedienne.Algeria.1965.1977.Military Dict,Non-democracy,Military Dict,1965,13,0
Algeria,615,615.0,Northern Africa,Africa,military,military.Algeria.1978.1978.Military Dict,Non-democracy,Military Dict,1978,1,1
Algeria,615,615.0,Northern Africa,Africa,Benjedid Chadli,Benjedid Chadli.Algeria.1979.1991.Military Dict,Non-democracy,Military Dict,1979,13,1
Algeria,615,615.0,Northern Africa,Africa,military High Security Council,military High Security Council.Algeria.1992.1993.Military Dict,Non-democracy,Military Dict,1992,2,1
