       id        heduc   heblack   mixed     years   div  
       9   12-15 years        No      No    10.546    No  
      11    < 12 years        No      No    34.943    No  
      13    < 12 years        No      No     2.834   Yes  
      15    < 12 years        No      No    17.532   Yes  
      33   12-15 years        No      No     1.418    No  
      36    < 12 years        No      No    48.033    No  
      43     16+ years        No      No    16.706    No  
      47    < 12 years        No      No    24.999    No  
      50    < 12 years        No      No    24.999    No  
      56    < 12 years       Yes      No     3.869    No  
      63   12-15 years       Yes      No     7.732    No  
      66   12-15 years        No      No    5.2105   Yes  
      70   12-15 years        No      No    15.444    No  
      77     16+ years        No      No     4.085    No  
      80    < 12 years        No      No    17.333    No  
      84   12-15 years        No      No    16.331    No  
      87   12-15 years        No      No    35.335    No  
      90    < 12 years        No      No     37.67    No  
      91   12-15 years        No      No   19.1865   Yes  
      94   12-15 years        No      No    22.697    No  
     109    < 12 years        No      No    50.776    No  
     111    < 12 years        No      No    37.495    No  
     114    < 12 years        No      No    30.738    No  
     116    < 12 years        No      No    48.654    No  
     118    < 12 years        No      No    33.024    No  
     120    < 12 years        No      No    36.668    No  
     122     16+ years        No      No    27.992    No  
     124     16+ years        No      No    27.789    No  
     128   12-15 years        No      No    3.2525   Yes  
     129   12-15 years        No      No      5.67   Yes  
     137    < 12 years        No      No    17.999    No  
     139    < 12 years        No      No    7.5975   Yes  
     141    < 12 years        No      No     1.791    No  
     145    < 12 years        No      No     2.475    No  
     148   12-15 years        No      No    35.959    No  
     153   12-15 years        No      No    13.136    No  
     160   12-15 years        No      No     5.717    No  
     162   12-15 years        No      No     5.717    No  
     164   12-15 years        No      No    26.278    No  
     165   12-15 years        No      No     4.331   Yes  
     166    < 12 years        No      No     8.893    No  
     170   12-15 years        No      No    15.743    No  
     183    < 12 years        No      No     4.671   Yes  
     194    < 12 years        No      No    48.356    No  
     196    < 12 years        No      No    39.332    No  
     199    < 12 years        No      No    39.332    No  
     212   12-15 years        No      No    61.525    No  
     214   12-15 years        No      No    12.999    No  
     219   12-15 years        No      No    14.817    No  
     221    < 12 years        No      No    33.755   Yes  
     223    < 12 years        No      No    56.999    No  
     226   12-15 years        No      No     3.606    No  
     228    < 12 years        No      No     3.606    No  
     230    < 12 years       Yes      No    16.999    No  
     232    < 12 years       Yes      No    42.015   Yes  
     234   12-15 years        No      No    37.837    No  
     237   12-15 years       Yes      No     18.16    No  
     245   12-15 years        No      No    18.018    No  
     254   12-15 years        No      No    13.667   Yes  
     258   12-15 years        No      No     3.584   Yes  
     264    < 12 years        No      No     2.502   Yes  
     268     16+ years        No      No   14.7135   Yes  
     271    < 12 years        No      No    35.932    No  
     275     16+ years        No      No    13.864    No  
     280   12-15 years        No      No   25.8015   Yes  
     287    < 12 years        No      No   14.3495   Yes  
     289    < 12 years        No      No    57.506    No  
     293   12-15 years        No      No     7.915   Yes  
     295    < 12 years        No      No     7.162    No  
     298     16+ years        No      No    41.971    No  
     300     16+ years        No      No    12.991    No  
     302   12-15 years        No      No   18.3355   Yes  
     305   12-15 years        No      No    18.809    No  
     310    < 12 years        No      No     1.864    No  
     312   12-15 years        No      No    53.084    No  
     315   12-15 years        No      No   17.2895   Yes  
     320   12-15 years        No      No    32.167   Yes  
     325   12-15 years        No      No    18.338    No  
     329   12-15 years        No      No    23.469    No  
     331     16+ years        No      No    34.762    No  
     333   12-15 years        No      No    4.4325   Yes  
     336   12-15 years        No      No    19.081    No  
     339    < 12 years        No      No   35.8465   Yes  
     341   12-15 years        No      No     7.247   Yes  
     342   12-15 years        No      No    28.151    No  
     344   12-15 years        No      No   15.9975   Yes  
     346    < 12 years        No      No    2.2125   Yes  
     350     16+ years        No      No     8.789    No  
     351     16+ years        No      No     8.789    No  
     353     16+ years        No      No    17.999    No  
     357     16+ years        No      No    14.084    No  
     362    < 12 years        No      No    27.009    No  
     364    < 12 years       Yes      No    42.313    No  
     370    < 12 years        No      No     9.002    No  
     372    < 12 years        No      No    35.001    No  
