"","Date.On","Date.Off","Week","NH4.Orig.mg.per.L","NH4.mg.per.L","Censored"
"1",2009-01-06,2009-01-13,2,"<0.006",0.006,TRUE
"2",2009-01-20,2009-01-27,4,"<0.006",0.006,TRUE
"3",2009-01-27,2009-02-03,5," 0.006",0.006,FALSE
"4",2009-02-10,2009-02-16,7," 0.016",0.016,FALSE
"5",2009-02-16,2009-02-24,8,"<0.006",0.006,TRUE
"6",2009-03-03,2009-03-10,10," 0.015",0.015,FALSE
"7",2009-03-10,2009-03-17,11," 0.023",0.023,FALSE
"8",2009-03-17,2009-03-24,12," 0.034",0.034,FALSE
"9",2009-03-24,2009-03-31,13," 0.022",0.022,FALSE
"10",2009-03-31,2009-04-08,14," 0.007",0.007,FALSE
"11",2009-04-08,2009-04-14,15," 0.021",0.021,FALSE
"12",2009-04-14,2009-04-21,16," 0.012",0.012,FALSE
"13",2009-04-21,2009-04-28,17,"<0.006",0.006,TRUE
"14",2009-04-28,2009-05-05,18," 0.021",0.021,FALSE
"15",2009-05-05,2009-05-12,19," 0.015",0.015,FALSE
"16",2009-05-12,2009-05-19,20," 0.088",0.088,FALSE
"17",2009-05-19,2009-05-26,21," 0.058",0.058,FALSE
"18",2009-06-09,2009-06-17,24,"<0.006",0.006,TRUE
"19",2009-06-17,2009-06-23,25,"<0.006",0.006,TRUE
"20",2009-06-23,2009-06-30,26,"<0.006",0.006,TRUE
"21",2009-06-30,2009-07-07,27,"<0.006",0.006,TRUE
"22",2009-07-07,2009-07-14,28," 0.074",0.074,FALSE
"23",2009-08-04,2009-08-11,32," 0.011",0.011,FALSE
"24",2009-08-11,2009-08-18,33," 0.121",0.121,FALSE
"25",2009-08-18,2009-08-25,34,"<0.006",0.006,TRUE
"26",2009-08-25,2009-09-01,35," 0.007",0.007,FALSE
"27",2009-09-01,2009-09-08,36," 0.007",0.007,FALSE
"28",2009-09-08,2009-09-15,37," 0.015",0.015,FALSE
"29",2009-10-13,2009-10-20,42,"<0.006",0.006,TRUE
"30",2009-10-20,2009-10-27,43,"<0.006",0.006,TRUE
"31",2009-10-27,2009-11-03,44,"<0.006",0.006,TRUE
"32",2009-11-03,2009-11-10,45,"<0.006",0.006,TRUE
"33",2009-11-10,2009-11-17,46,"<0.006",0.006,TRUE
"34",2009-11-17,2009-11-24,47,"<0.006",0.006,TRUE
"35",2009-11-24,2009-12-01,48,"<0.006",0.006,TRUE
"36",2009-12-08,2009-12-15,50,"<0.006",0.006,TRUE
"37",2009-12-15,2009-12-22,51,"<0.006",0.006,TRUE
"38",2009-12-29,2010-01-06,53,"<0.01",0.01,TRUE
"39",2010-01-06,2010-01-12,54,"<0.01",0.01,TRUE
"40",2010-01-12,2010-01-19,55,"<0.01",0.01,TRUE
"41",2010-02-02,2010-02-09,58," 0.042",0.042,FALSE
"42",2010-02-09,2010-02-16,59,"<0.01",0.01,TRUE
"43",2010-02-16,2010-02-23,60," 0.013",0.013,FALSE
"44",2010-02-23,2010-03-02,61,"<0.01",0.01,TRUE
"45",2010-03-02,2010-03-10,62," 0.028",0.028,FALSE
"46",2010-03-17,2010-03-23,64,"<0.01",0.01,TRUE
"47",2010-03-23,2010-03-30,65,"<0.01",0.01,TRUE
"48",2010-03-30,2010-04-06,66,"<0.01",0.01,TRUE
"49",2010-04-06,2010-04-12,67," 0.049",0.049,FALSE
"50",2010-04-12,2010-04-20,68," 0.036",0.036,FALSE
"51",2010-04-20,2010-04-27,69,"<0.01",0.01,TRUE
"52",2010-04-27,2010-05-04,70," 0.011",0.011,FALSE
