T,E,group
6.0,1,miR-137
13.0,1,miR-137
13.0,1,miR-137
13.0,1,miR-137
19.0,1,miR-137
19.0,1,miR-137
19.0,1,miR-137
26.0,1,miR-137
26.0,1,miR-137
26.0,1,miR-137
26.0,1,miR-137
26.0,1,miR-137
33.0,1,miR-137
33.0,1,miR-137
47.0,1,miR-137
62.0,1,miR-137
62.0,1,miR-137
9.0,1,miR-137
9.0,1,miR-137
9.0,1,miR-137
15.0,1,miR-137
15.0,1,miR-137
22.0,1,miR-137
22.0,1,miR-137
22.0,1,miR-137
22.0,1,miR-137
29.0,1,miR-137
29.0,1,miR-137
29.0,1,miR-137
29.0,1,miR-137
29.0,1,miR-137
36.0,1,miR-137
36.0,1,miR-137
43.0,1,miR-137
33.0,1,control
54.0,1,control
54.0,1,control
61.0,1,control
61.0,1,control
61.0,0,control
61.0,1,control
61.0,0,control
61.0,1,control
61.0,1,control
61.0,1,control
61.0,1,control
61.0,1,control
61.0,1,control
69.0,1,control
69.0,1,control
69.0,1,control
69.0,1,control
69.0,1,control
69.0,1,control
69.0,0,control
69.0,1,control
69.0,1,control
69.0,1,control
69.0,1,control
32.0,1,control
53.0,1,control
53.0,1,control
60.0,1,control
60.0,1,control
60.0,1,control
60.0,1,control
60.0,1,control
68.0,1,control
68.0,1,control
68.0,1,control
68.0,1,control
68.0,0,control
68.0,1,control
68.0,1,control
68.0,1,control
68.0,1,control
68.0,1,control
75.0,1,control
17.0,1,control
51.0,1,control
51.0,1,control
51.0,1,control
58.0,1,control
58.0,1,control
58.0,1,control
58.0,1,control
66.0,1,control
66.0,1,control
7.0,1,control
7.0,0,control
41.0,1,control
41.0,1,control
41.0,1,control
41.0,1,control
41.0,1,control
41.0,1,control
41.0,1,control
48.0,1,control
48.0,1,control
48.0,1,control
48.0,1,control
48.0,1,control
48.0,1,control
48.0,1,control
48.0,1,control
56.0,1,control
56.0,1,control
56.0,1,control
56.0,1,control
56.0,1,control
56.0,1,control
56.0,1,control
56.0,1,control
56.0,1,control
56.0,1,control
56.0,1,control
56.0,1,control
56.0,1,control
56.0,1,control
56.0,1,control
56.0,1,control
56.0,1,control
56.0,1,control
63.0,1,control
63.0,1,control
63.0,1,control
63.0,1,control
63.0,1,control
63.0,1,control
63.0,1,control
63.0,1,control
63.0,1,control
69.0,1,control
69.0,1,control
38.0,1,control
38.0,1,control
45.0,1,control
45.0,1,control
45.0,1,control
45.0,1,control
45.0,1,control
45.0,1,control
45.0,1,control
45.0,1,control
45.0,0,control
45.0,1,control
53.0,1,control
53.0,1,control
53.0,1,control
53.0,1,control
53.0,1,control
60.0,1,control
60.0,0,control
60.0,1,control
60.0,1,control
60.0,1,control
60.0,1,control
60.0,1,control
60.0,1,control
60.0,1,control
60.0,1,control
60.0,1,control
66.0,1,control
