arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
lifelines/lifelines/calibration.py,function,,ccl,A,1,44,45
lifelines/lifelines/exceptions.py,method,ConvergenceError,__init__,A,1,14,16
lifelines/lifelines/generate_datasets.py,function,,pF,A,1,59,61
lifelines/lifelines/generate_datasets.py,function,,exp_comp_,A,1,98,100
lifelines/lifelines/generate_datasets.py,function,,log_,A,1,104,106
lifelines/lifelines/generate_datasets.py,function,,inverseSq_,A,1,110,112
lifelines/lifelines/generate_datasets.py,function,,periodic_,A,1,116,118
lifelines/lifelines/generate_datasets.py,function,,constant_,A,1,122,124
lifelines/lifelines/generate_datasets.py,function,,right_censor_lifetimes,A,1,130,146
lifelines/lifelines/generate_datasets.py,function,,constant_coefficients,A,1,167,179
lifelines/lifelines/generate_datasets.py,function,,generate_observational_matrix,A,1,292,298
lifelines/lifelines/generate_datasets.py,function,,cumulative_integral,A,1,302,311
lifelines/lifelines/generate_datasets.py,function,,construct_survival_curves,A,1,314,328
lifelines/lifelines/generate_datasets.py,method,coeff_func,__init__,A,1,83,84
lifelines/lifelines/generate_datasets.py,method,coeff_func,__call__,A,1,86,94
lifelines/lifelines/generate_datasets.py,function,,__repr__,A,1,87,89
lifelines/lifelines/plotting.py,function,,loglog,A,1,849,850
lifelines/lifelines/plotting.py,function,,get_distribution_name_of_lifelines_model,A,1,35,36
lifelines/lifelines/plotting.py,function,,is_latex_enabled,A,1,334,341
lifelines/lifelines/plotting.py,function,,set_kwargs_color,A,1,811,815
lifelines/lifelines/plotting.py,function,,set_kwargs_drawstyle,A,1,819,820
lifelines/lifelines/plotting.py,function,,set_kwargs_label,A,1,823,824
lifelines/lifelines/statistics.py,function,,compute_statistic,A,1,922,927
lifelines/lifelines/statistics.py,function,,sample_size_necessary_under_cph,A,1,216,287
lifelines/lifelines/statistics.py,function,,z,A,1,274,275
lifelines/lifelines/statistics.py,function,,power_under_cph,A,1,290,339
lifelines/lifelines/statistics.py,function,,z,A,1,333,334
lifelines/lifelines/statistics.py,function,,difference_of_restricted_mean_survival_time_test,A,1,675,676
lifelines/lifelines/statistics.py,function,,_chisq_test_p_value,A,1,853,855
lifelines/lifelines/statistics.py,method,StatisticalResult,_html_print,A,1,123,124
lifelines/lifelines/statistics.py,method,StatisticalResult,_latex_print,A,1,126,127
lifelines/lifelines/statistics.py,method,StatisticalResult,_ascii_print,A,1,129,130
lifelines/lifelines/statistics.py,method,StatisticalResult,to_latex,A,1,147,151
lifelines/lifelines/statistics.py,method,StatisticalResult,to_ascii,A,1,175,187
lifelines/lifelines/statistics.py,method,StatisticalResult,__add__,A,1,198,204
lifelines/lifelines/statistics.py,method,StatisticalResult,_repr_latex_,A,1,206,207
lifelines/lifelines/statistics.py,method,StatisticalResult,_repr_html_,A,1,209,210
lifelines/lifelines/statistics.py,method,StatisticalResult,__repr__,A,1,212,213
lifelines/lifelines/statistics.py,method,TimeTransformers,get,A,1,868,869
lifelines/lifelines/datasets/__init__.py,function,,_load_dataset,A,1,6,21
lifelines/lifelines/datasets/__init__.py,function,,load_recur,A,1,24,50
lifelines/lifelines/datasets/__init__.py,function,,load_multicenter_aids_cohort_study,A,1,53,77
lifelines/lifelines/datasets/__init__.py,function,,load_holly_molly_polly,A,1,80,93
lifelines/lifelines/datasets/__init__.py,function,,load_leukemia,A,1,96,113
lifelines/lifelines/datasets/__init__.py,function,,load_canadian_senators,A,1,116,134
lifelines/lifelines/datasets/__init__.py,function,,load_dd,A,1,137,164
lifelines/lifelines/datasets/__init__.py,function,,load_kidney_transplant,A,1,167,183
lifelines/lifelines/datasets/__init__.py,function,,load_larynx,A,1,186,200
lifelines/lifelines/datasets/__init__.py,function,,load_lung,A,1,203,223
lifelines/lifelines/datasets/__init__.py,function,,load_panel_test,A,1,226,240
lifelines/lifelines/datasets/__init__.py,function,,load_psychiatric_patients,A,1,243,257
lifelines/lifelines/datasets/__init__.py,function,,load_static_test,A,1,260,275
lifelines/lifelines/datasets/__init__.py,function,,load_lcd,A,1,278,298
lifelines/lifelines/datasets/__init__.py,function,,load_nh4,A,1,301,316
lifelines/lifelines/datasets/__init__.py,function,,load_waltons,A,1,319,333
lifelines/lifelines/datasets/__init__.py,function,,load_rossi,A,1,336,358
lifelines/lifelines/datasets/__init__.py,function,,load_regression_dataset,A,1,361,376
lifelines/lifelines/datasets/__init__.py,function,,load_g3,A,1,379,394
lifelines/lifelines/datasets/__init__.py,function,,load_stanford_heart_transplants,A,1,397,418
lifelines/lifelines/datasets/__init__.py,function,,load_gbsg2,A,1,421,444
lifelines/lifelines/datasets/__init__.py,function,,load_dfcv,A,1,447,468
lifelines/lifelines/datasets/__init__.py,function,,load_lymphoma,A,1,471,489
lifelines/lifelines/datasets/__init__.py,function,,load_diabetes,A,1,492,515
lifelines/lifelines/datasets/__init__.py,function,,load_lupus,A,1,518,537
lifelines/lifelines/datasets/__init__.py,function,,load_lymph_node,A,1,540,550
lifelines/lifelines/datasets/__init__.py,function,,load_c_botulinum_lag_phase,A,1,553,563
lifelines/lifelines/datasets/__init__.py,function,,load_mice,A,1,566,574
lifelines/lifelines/fitters/aalen_additive_fitter.py,function,,shaded_plot,A,1,430,432
lifelines/lifelines/fitters/aalen_additive_fitter.py,method,AalenAdditiveFitter,_fit_model,A,1,195,208
lifelines/lifelines/fitters/aalen_additive_fitter.py,method,AalenAdditiveFitter,_check_values,A,1,331,334
lifelines/lifelines/fitters/aalen_additive_fitter.py,method,AalenAdditiveFitter,predict_survival_function,A,1,336,350
lifelines/lifelines/fitters/aalen_additive_fitter.py,method,AalenAdditiveFitter,predict_percentile,A,1,352,368
lifelines/lifelines/fitters/aalen_additive_fitter.py,method,AalenAdditiveFitter,predict_median,A,1,370,382
lifelines/lifelines/fitters/aalen_additive_fitter.py,method,AalenAdditiveFitter,predict_expectation,A,1,384,399
lifelines/lifelines/fitters/aalen_additive_fitter.py,method,AalenAdditiveFitter,_compute_confidence_intervals,A,1,401,408
lifelines/lifelines/fitters/aalen_additive_fitter.py,method,AalenAdditiveFitter,smoothed_hazards_,A,1,469,478
lifelines/lifelines/fitters/aalen_additive_fitter.py,method,AalenAdditiveFitter,_compute_slopes,A,1,498,510
lifelines/lifelines/fitters/aalen_additive_fitter.py,function,,_univariate_linear_regression_without_intercept,A,1,499,504
lifelines/lifelines/fitters/aalen_additive_fitter.py,method,AalenAdditiveFitter,summary,A,1,513,525
lifelines/lifelines/fitters/aalen_johansen_fitter.py,method,AalenJohansenFitter,__init__,A,1,62,66
lifelines/lifelines/fitters/aalen_johansen_fitter.py,method,AalenJohansenFitter,_check_for_duplicates,A,1,256,270
lifelines/lifelines/fitters/breslow_fleming_harrington_fitter.py,method,BreslowFlemingHarringtonFitter,fit,A,1,30,105
