arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
lifelines/lifelines/calibration.py,funcao,survival_probability_calibration,5,20,16,31,25,47,98.0482,218.2612,3.875,845.7623,46.9868,0.0728
lifelines/lifelines/exceptions.py,funcao,__init__,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
lifelines/lifelines/generate_datasets.py,funcao,piecewise_exponential_survival_data,7,18,15,27,25,42,94.7101,195.042,5.25,1023.9703,56.8872,0.065
lifelines/lifelines/generate_datasets.py,funcao,exponential_survival_data,7,24,16,30,31,46,129.6906,227.893,4.375,997.032,55.3907,0.076
lifelines/lifelines/generate_datasets.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
lifelines/lifelines/generate_datasets.py,funcao,__call__,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
lifelines/lifelines/generate_datasets.py,funcao,exp_comp_,3,10,6,11,13,17,37.9742,62.9075,1.65,103.7973,5.7665,0.021
lifelines/lifelines/generate_datasets.py,funcao,log_,3,9,5,10,12,15,33.2842,53.7744,1.6667,89.6241,4.9791,0.0179
lifelines/lifelines/generate_datasets.py,funcao,inverseSq_,3,8,4,8,11,12,28.7549,41.5132,1.5,62.2698,3.4594,0.0138
lifelines/lifelines/generate_datasets.py,funcao,periodic_,1,8,4,8,9,12,24.0,38.0391,0.5,19.0196,1.0566,0.0127
lifelines/lifelines/generate_datasets.py,funcao,constant_,0,0,0,0,0,0,0,0,0,0,0,0
lifelines/lifelines/generate_datasets.py,funcao,right_censor_lifetimes,4,7,4,8,11,12,27.6515,41.5132,2.2857,94.8873,5.2715,0.0138
lifelines/lifelines/generate_datasets.py,funcao,generate_covariates,6,6,9,16,12,25,31.0196,89.6241,8.0,716.9925,39.8329,0.0299
lifelines/lifelines/generate_datasets.py,funcao,constant_coefficients,0,0,0,0,0,0,0,0,0,0,0,0
lifelines/lifelines/generate_datasets.py,funcao,time_varying_coefficients,5,10,6,11,15,17,44.8289,66.4171,2.75,182.6471,10.1471,0.0221
lifelines/lifelines/generate_datasets.py,funcao,generate_hazard_rates,4,9,6,11,13,17,36.5293,62.9075,2.4444,153.7738,8.543,0.021
lifelines/lifelines/generate_datasets.py,funcao,generate_random_lifetimes,6,10,6,11,16,17,48.7291,68.0,3.3,224.4,12.4667,0.0227
lifelines/lifelines/generate_datasets.py,funcao,generate_observational_matrix,0,0,0,0,0,0,0,0,0,0,0,0
lifelines/lifelines/generate_datasets.py,funcao,cumulative_integral,0,0,0,0,0,0,0,0,0,0,0,0
lifelines/lifelines/generate_datasets.py,funcao,construct_survival_curves,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
lifelines/lifelines/plotting.py,funcao,_iloc,0,0,0,0,0,0,0,0,0,0,0,0
lifelines/lifelines/plotting.py,funcao,get_distribution_name_of_lifelines_model,0,0,0,0,0,0,0,0,0,0,0,0
lifelines/lifelines/plotting.py,funcao,create_scipy_stats_model_from_lifelines_model,2,6,5,9,8,14,17.5098,42.0,1.5,63.0,3.5,0.014
lifelines/lifelines/plotting.py,funcao,cdf_plot,2,5,3,6,7,9,13.6096,25.2662,1.2,30.3194,1.6844,0.0084
lifelines/lifelines/plotting.py,funcao,rmst_plot,8,17,12,24,25,36,93.4869,167.1788,5.6471,944.0686,52.4483,0.0557
lifelines/lifelines/plotting.py,funcao,qq_plot,5,9,5,9,14,14,40.139,53.303,2.5,133.2574,7.4032,0.0178
lifelines/lifelines/plotting.py,funcao,is_latex_enabled,0,0,0,0,0,0,0,0,0,0,0,0
lifelines/lifelines/plotting.py,funcao,remove_spines,0,0,0,0,0,0,0,0,0,0,0,0
lifelines/lifelines/plotting.py,funcao,move_spines,0,0,0,0,0,0,0,0,0,0,0,0
lifelines/lifelines/plotting.py,funcao,remove_ticks,0,0,0,0,0,0,0,0,0,0,0,0
lifelines/lifelines/plotting.py,funcao,add_at_risk_counts,12,72,56,110,84,166,487.2542,1061.1247,9.1667,9726.9763,540.3876,0.3537
lifelines/lifelines/plotting.py,funcao,plot_interval_censored_lifetimes,6,15,10,19,21,29,74.1131,127.3772,3.8,484.0334,26.8907,0.0425
lifelines/lifelines/plotting.py,funcao,plot_lifetimes,8,17,12,22,25,34,93.4869,157.8911,5.1765,817.3187,45.4066,0.0526
lifelines/lifelines/plotting.py,funcao,set_kwargs_color,0,0,0,0,0,0,0,0,0,0,0,0
lifelines/lifelines/plotting.py,funcao,set_kwargs_drawstyle,0,0,0,0,0,0,0,0,0,0,0,0
lifelines/lifelines/plotting.py,funcao,set_kwargs_label,0,0,0,0,0,0,0,0,0,0,0,0
lifelines/lifelines/plotting.py,funcao,create_dataframe_slicer,3,7,7,14,10,21,24.4064,69.7605,3.0,209.2815,11.6267,0.0233
lifelines/lifelines/plotting.py,funcao,loglogs_plot,5,13,9,17,18,26,59.7154,108.4181,3.2692,354.4436,19.6913,0.0361
lifelines/lifelines/plotting.py,funcao,_plot_estimate,5,12,7,14,17,21,54.6292,85.8367,2.9167,250.3571,13.9087,0.0286
lifelines/lifelines/plotting.py,funcao,__init__,2,5,3,6,7,9,13.6096,25.2662,1.2,30.3194,1.6844,0.0084
lifelines/lifelines/statistics.py,funcao,__init__,2,6,3,6,8,9,17.5098,27.0,1.0,27.0,1.5,0.009
lifelines/lifelines/statistics.py,funcao,_print_specific_style,1,4,3,6,5,9,8.0,20.8974,0.75,15.673,0.8707,0.007
