arquivo,loc,lloc,sloc,comments,multi,blank,single_comments
lifelines/lifelines/tests/__init__.py,0,0,0,0,0,0,0
lifelines/lifelines/version.py,4,2,2,1,0,1,1
lifelines/lifelines/utils/safe_exp.py,100,11,9,1,72,18,1
lifelines/lifelines/exceptions.py,28,14,14,2,0,12,2
lifelines/lifelines/fitters/exponential_fitter.py,80,17,15,1,49,15,1
lifelines/lifelines/fitters/weibull_fitter.py,104,24,20,1,60,23,1
lifelines/lifelines/fitters/piecewise_exponential_fitter.py,88,25,23,1,48,16,1
lifelines/lifelines/tests/test_generate_datasets.py,35,26,26,1,0,8,1
lifelines/lifelines/utils/lowess.py,64,31,27,7,22,8,7
lifelines/lifelines/tests/utils/test_btree.py,39,29,29,2,0,8,2
lifelines/lifelines/fitters/spline_fitter.py,107,28,31,1,57,18,1
lifelines/lifelines/fitters/log_logistic_fitter.py,115,37,34,2,56,23,2
lifelines/lifelines/fitters/log_normal_fitter.py,102,42,39,1,43,19,1
lifelines/lifelines/fitters/crc_spline_fitter.py,91,39,45,2,19,25,2
lifelines/lifelines/__init__.py,51,24,46,2,0,3,2
lifelines/lifelines/fitters/mixture_cure_fitter.py,127,48,46,1,55,25,1
lifelines/lifelines/calibration.py,106,53,49,10,24,24,9
lifelines/lifelines/fitters/breslow_fleming_harrington_fitter.py,118,29,50,5,44,20,4
lifelines/lifelines/fitters/log_logistic_aft_fitter.py,181,51,52,2,89,38,2
lifelines/lifelines/fitters/piecewise_exponential_regression_fitter.py,128,63,56,3,39,31,2
lifelines/lifelines/tests/utils/test_concordance.py,82,54,58,3,0,21,3
lifelines/lifelines/datasets/__init__.py,574,87,59,1,377,137,1
lifelines/lifelines/fitters/log_normal_aft_fitter.py,193,55,63,1,92,37,1
lifelines/lifelines/fitters/weibull_aft_fitter.py,197,48,67,2,91,37,2
lifelines/lifelines/fitters/generalized_gamma_regression_fitter.py,190,62,69,4,76,41,4
lifelines/lifelines/tests/test_npmle.py,99,70,69,4,0,26,4
lifelines/lifelines/fitters/generalized_gamma_fitter.py,176,55,71,2,72,31,2
lifelines/lifelines/utils/btree.py,117,79,71,14,19,13,14
lifelines/lifelines/datasets/dfcv_dataset.py,84,8,78,1,0,5,1
lifelines/lifelines/utils/concordance.py,303,123,119,51,73,60,51
lifelines/lifelines/fitters/aalen_johansen_fitter.py,313,105,126,22,111,59,17
lifelines/lifelines/fitters/nelson_aalen_fitter.py,272,103,142,6,87,39,4
lifelines/lifelines/generate_datasets.py,328,168,149,9,88,78,13
lifelines/lifelines/utils/printer.py,191,106,156,2,0,33,2
lifelines/lifelines/fitters/mixins.py,284,102,168,8,56,52,8
lifelines/lifelines/fitters/npmle.py,318,178,191,17,31,79,17
lifelines/lifelines/fitters/kaplan_meier_fitter.py,550,153,225,15,230,81,14
lifelines/lifelines/fitters/aalen_additive_fitter.py,592,246,270,11,187,124,11
lifelines/lifelines/tests/test_statistics.py,581,323,353,3,87,138,3
lifelines/lifelines/statistics.py,974,292,367,20,357,237,13
lifelines/lifelines/fitters/cox_time_varying_fitter.py,869,385,507,36,184,148,30
lifelines/lifelines/plotting.py,1073,407,628,37,264,153,28
lifelines/lifelines/tests/test_plotting.py,966,779,804,15,0,149,13
lifelines/lifelines/tests/utils/test_utils.py,1058,638,814,19,0,232,12
lifelines/lifelines/utils/__init__.py,2015,837,933,77,587,424,71
lifelines/lifelines/fitters/coxph_fitter.py,3286,1280,1602,130,936,624,124
lifelines/lifelines/fitters/__init__.py,3642,1394,1923,58,1008,661,50
lifelines/lifelines/tests/test_estimation.py,5781,3493,4102,116,419,1160,100
TOTAL,26776,12223,14797,730,6109,5214,656
